DeviceID	DeviceType	TimeStamp	CurrentStatus	InferredActivity
Machine3	Sensor	49	doorClosed	Intruder entered home	
Machine3	Sensor	51	doorClosed	Intruder entered home	
Machine2	Sensor	52	eventYesMotion	Intruder entered home	
Machine3	Sensor	53	doorOpen	Intruder left home	
Machine2	Sensor	55	eventYesMotion	Intruder entered home	
Machine2	Sensor	56	eventYesMotion	User came home	
Machine3	Sensor	57	doorClosed	User came home	
Machine3	Sensor	59	doorClosed	User came home	
Machine2	Sensor	60	eventYesMotion	User came home	
Machine2	Sensor	61	eventYesMotion	User came home	
Machine2	Sensor	62	eventYesMotion	User came home	
Machine2	Sensor	17	eventYesMotion	Intruder entered home	
Machine3	Sensor	19	doorClosed	Intruder entered home	
Machine2	Sensor	20	eventYesMotion	Intruder entered home	
Machine3	Sensor	21	doorOpen	Intruder left home	
Machine2	Sensor	23	eventYesMotion	User came home	
Machine3	Sensor	25	doorClosed	User came home	
Machine2	Sensor	26	eventYesMotion	User came home	
Machine3	Sensor	28	doorClosed	User came home	
Machine3	Sensor	29	doorClosed	User came home	
Machine3	Sensor	31	doorClosed	Intruder entered home	
Machine3	Sensor	32	doorOpen	Intruder left home	
Machine2	Sensor	33	eventYesMotion	Intruder entered home	
Machine2	Sensor	35	eventYesMotion	Intruder entered home	
Machine3	Sensor	37	doorClosed	User came home	
Machine2	Sensor	38	eventYesMotion	User came home	
Machine3	Sensor	40	doorClosed	User came home	
Machine3	Sensor	41	doorClosed	User came home	
Machine3	Sensor	42	doorOpen	User left home	
Machine2	Sensor	43	eventYesMotion	Intruder entered home	
Machine3	Sensor	45	doorClosed	Intruder entered home	
Machine3	Sensor	47	doorClosed	Intruder entered home	
Machine2	Sensor	48	eventYesMotion	Intruder entered home	
Machine3	Sensor	50	doorClosed	Intruder entered home	
Machine3	Sensor	51	doorClosed	Intruder entered home	
Machine2	Sensor	52	eventYesMotion	Intruder entered home	
Machine2	Sensor	54	eventYesMotion	Intruder entered home	
Machine3	Sensor	55	doorOpen	Intruder left home	
Machine2	Sensor	56	eventYesMotion	User came home	
Machine3	Sensor	58	doorClosed	User came home	
Machine3	Sensor	59	doorClosed	User came home	
Machine2	Sensor	60	eventYesMotion	User came home	
Machine2	Sensor	61	eventYesMotion	User came home	
Machine2	Sensor	62	eventYesMotion	User came home	
Machine3	Sensor	31	doorClosed	Intruder entered home	
Machine3	Sensor	32	doorOpen	Intruder left home	
Machine2	Sensor	33	eventYesMotion	Intruder entered home	
Machine2	Sensor	35	eventYesMotion	Intruder entered home	
Machine3	Sensor	37	doorClosed	Intruder entered home	
Machine2	Sensor	38	eventYesMotion	User came home	
Machine3	Sensor	40	doorClosed	User came home	
Machine3	Sensor	41	doorClosed	User came home	
Machine3	Sensor	42	doorOpen	User left home	
Machine2	Sensor	43	eventYesMotion	User came home	
Machine3	Sensor	45	doorClosed	User came home	
Machine3	Sensor	47	doorClosed	Intruder entered home	
Machine2	Sensor	48	eventYesMotion	Intruder entered home	
Machine3	Sensor	50	doorClosed	Intruder entered home	
Machine3	Sensor	51	doorClosed	Intruder entered home	
Machine2	Sensor	52	eventYesMotion	User came home	
Machine2	Sensor	54	eventYesMotion	User came home	
Machine3	Sensor	55	doorOpen	User left home	
Machine2	Sensor	56	eventYesMotion	User came home	
Machine3	Sensor	58	doorClosed	User came home	
Machine3	Sensor	59	doorClosed	User came home	
Machine2	Sensor	60	eventYesMotion	Intruder entered home	
Machine2	Sensor	61	eventYesMotion	Intruder entered home	
Machine2	Sensor	62	eventYesMotion	Intruder entered home	
Machine3	Sensor	21	doorOpen	Intruder left home	
Machine2	Sensor	23	eventYesMotion	Intruder entered home	
Machine2	Sensor	24	eventYesMotion	Intruder entered home	
Machine3	Sensor	26	doorClosed	Intruder entered home	
Machine3	Sensor	28	doorClosed	Intruder entered home	
Machine3	Sensor	29	doorClosed	User came home	
Machine2	Sensor	15	eventYesMotion	Intruder entered home	
Machine2	Sensor	17	eventYesMotion	Intruder entered home	
Machine3	Sensor	18	eventBulbOnSensed	Intruder entered home	
